monument,monumentLabel,monumentDescription,type,typeLabel,typeDescription,gps_coords,locationLabel,localidadeLabel,image
http://www.wikidata.org/entity/Q304257,Praia de Quiaios,,,,,Point(-8.8914 40.218),,,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20de%20Quiaios.jpg
http://www.wikidata.org/entity/Q612184,Praia das Maçãs,"praia em Colares, Portugal",,,,Point(-9.47 38.825),,Colares,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20das%20Ma%C3%A7%C3%A3s%20%2822844143166%29.jpg
http://www.wikidata.org/entity/Q3332363,Praia da Vieira,"praia no concelho da Marinha Grande, Portugal",,,,Point(-8.96969 39.88273),,Marinha Grande,
http://www.wikidata.org/entity/Q2895643,Praia de Benagil,"praia em Lagoa, no Algarve, Portugal",,,,Point(-8.42583 37.0875),,,http://commons.wikimedia.org/wiki/Special:FilePath/02-05-2017%20Praia%20de%20Benagil%20%282%29.JPG
http://www.wikidata.org/entity/Q3695282,Costa Nova do Prado,,,,,Point(-8.75056667 40.61476667),,Ílhavo,http://commons.wikimedia.org/wiki/Special:FilePath/011293%20-%20Costa%20Nova%20do%20Prado%20%2821171782496%29.jpg
http://www.wikidata.org/entity/Q4694713,Praia da Aguçadoura,,,,,Point(-8.78403 41.43369),,,
http://www.wikidata.org/entity/Q4709424,Praia de Albarquel,"praia na Serra da Arrábida, Setúbal, Portugal",,,,Point(-8.915 38.51111111),Serra da Arrábida,Setúbal,http://commons.wikimedia.org/wiki/Special:FilePath/Arr%C3%A1bida.JPG
http://www.wikidata.org/entity/Q4709424,Praia de Albarquel,"praia na Serra da Arrábida, Setúbal, Portugal",,,,Point(-8.915 38.51111111),Serra da Arrábida,Setúbal,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20de%20Albarquel%2C%20Set%C3%BAbal%2C%20Portugal.jpg
http://www.wikidata.org/entity/Q1454473,Praia da Vinha da Areia,"praia na ilha de São Miguel, Açores, Portugal",,,,Point(-25.425475 37.71684722),,Açores,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20da%20Vinha%20da%20Areia%2C%20Vila%20Franca%20do%20Campo%2C%20ilha%20de%20S%C3%A3o%20Miguel%2C%20A%C3%A7ores.JPG
http://www.wikidata.org/entity/Q1566473,Praia da Areia Branca,"praia no concelho da Lourinhã, Portugal",,,,Point(-9.33614731 39.26681603),,Lourinhã,
http://www.wikidata.org/entity/Q1626861,Praia da Marinha,"praia no concelho de Lagoa, Algarve, Portugal",,,,Point(-8.41202 37.0897),,Lagoa,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20da%20Marinha%20%282012-09-27%29%2C%20by%20Klugschnacker%20in%20Wikipedia%20%2886%29.JPG
http://www.wikidata.org/entity/Q1728528,Praia da Alagoa,,,,,Point(-7.50017222 37.16895278),,,
http://www.wikidata.org/entity/Q1752037,Praia da Rocha,"praia no concelho de Portimão, no Algarve, Portugal",,,,Point(-8.53333333 37.11666667),,Portimão,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20da%20Rocha%20-%20Portugal%20%2811747902275%29.jpg
http://www.wikidata.org/entity/Q2107535,Praia de Albandeira,"praia da região do Algarve, em Portugal",,,,Point(-8.400075 37.09090833),,,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20da%20Albandeira-CTH.JPG
http://www.wikidata.org/entity/Q2107541,Praia da Falésia,"praia em Albufeira, Portugal",,,,Point(-8.17 37.08666667),,Albufeira,http://commons.wikimedia.org/wiki/Special:FilePath/Falesia%20Beach%20seen%20from%20sea.JPG
http://www.wikidata.org/entity/Q2107546,Praia de Ofir,praia em Portugal,,,,Point(-8.78758889 41.51708889),,Esposende,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20de%20Ofir%20%2836059861384%29.jpg
http://www.wikidata.org/entity/Q2107546,Praia de Ofir,praia em Portugal,,,,Point(-8.78758889 41.51708889),,Fão,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20de%20Ofir%20%2836059861384%29.jpg
http://www.wikidata.org/entity/Q2107562,Praia do Guincho,"praia em Cascais, Portugal",,,,Point(-9.472696 38.733149),,Alcabideche,http://commons.wikimedia.org/wiki/Special:FilePath/Guincho%20June%202013-4.jpg
http://www.wikidata.org/entity/Q10352674,Praia da Terra Estreita,"praia na Ilha de Tavira, Algarve, Portugal",,,,Point(-7.64084 37.09791),,Tavira,http://commons.wikimedia.org/wiki/Special:FilePath/Litoral%20entre%20a%20Praia%20do%20Barril%20e%20a%20Praia%20da%20Terra%20Estreita%20ou%20de%20Santa%20Luzia%20-%20Portugal%20%2816937549580%29.jpg
http://www.wikidata.org/entity/Q10352678,Praia da Ursa,"praia em Sintra, Portugal",,,,Point(-9.492404 38.790152),,Colares,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20da%20Ursa%20-%20Parque%20Natural%20Sintra-Cascais.jpg
http://www.wikidata.org/entity/Q10352709,Praia das Quatro Águas,"praia na Ilha de Tavira, Algarve, Portugal",,,,Point(-7.627638888 37.106138888),,Tavira,
http://www.wikidata.org/entity/Q10352748,Praia de Cacela Velha,,,,,Point(-7.54233 37.15299),,,http://commons.wikimedia.org/wiki/Special:FilePath/Cacela%20Velha%2C%20Ria%20Formosa%2C%20Algarve%20%286045750864%29.jpg
http://www.wikidata.org/entity/Q10352764,Praia de Carcavelos,praia em Cascais,,,,Point(-9.33416 38.67838),,Carcavelos e Parede,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20de%20Carcavelos.jpg
http://www.wikidata.org/entity/Q10352768,Praia de Carvoeiro,,,,,Point(-8.47206 37.09608),,Carvoeiro,http://commons.wikimedia.org/wiki/Special:FilePath/Carvoeiro%20Algarve%20Portugal%20February%202915%204163%20-%20panoramio.jpg
http://www.wikidata.org/entity/Q10352770,Praia de Cepães,,,,,Point(-8.79369 41.55435),,Esposende,
http://www.wikidata.org/entity/Q10283308,Praia da Fonte da Telha,"Praia em Almada e Sesimbra, Portugal",,,,Point(-9.196194444 38.570972222),,Setúbal,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20da%20Fonte%20da%20Telha.jpg
http://www.wikidata.org/entity/Q10283308,Praia da Fonte da Telha,"Praia em Almada e Sesimbra, Portugal",,,,Point(-9.196944444 38.573333333),,Setúbal,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20da%20Fonte%20da%20Telha.jpg
http://www.wikidata.org/entity/Q10283308,Praia da Fonte da Telha,"Praia em Almada e Sesimbra, Portugal",,,,Point(-9.196194444 38.570972222),,Almada,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20da%20Fonte%20da%20Telha.jpg
http://www.wikidata.org/entity/Q10283308,Praia da Fonte da Telha,"Praia em Almada e Sesimbra, Portugal",,,,Point(-9.196944444 38.573333333),,Almada,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20da%20Fonte%20da%20Telha.jpg
http://www.wikidata.org/entity/Q10283308,Praia da Fonte da Telha,"Praia em Almada e Sesimbra, Portugal",,,,Point(-9.196194444 38.570972222),,Sesimbra,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20da%20Fonte%20da%20Telha.jpg
http://www.wikidata.org/entity/Q10283308,Praia da Fonte da Telha,"Praia em Almada e Sesimbra, Portugal",,,,Point(-9.196944444 38.573333333),,Sesimbra,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20da%20Fonte%20da%20Telha.jpg
http://www.wikidata.org/entity/Q10352381,Praia Atlântica,,,,,Point(-8.862438 38.452353),Soltroia,Carvalhal,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20atlantica%20soltroia.JPG
http://www.wikidata.org/entity/Q10352416,Praia Fluvial da Froia,praia fluvial em Fróia,,,,Point(-7.83777778 39.78888889),,Sobreira Formosa,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20fluvial%20de%20Fr%C3%B3ia%20-%20Portugal%20%28134745062%29.jpg
http://www.wikidata.org/entity/Q10352428,Praia Formosa,"praia em São Martinho, Funchal, na ilha da Madeira",,,,Point(-16.95275 32.6405),Madeira,São Martinho,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20Formosa%20-%20Black%20Pebble%20Beach%20in%20February%20Sunshine%20%2832823123041%29.jpg
http://www.wikidata.org/entity/Q10352439,Praia Grande,"praia em Colares, no município de Sintra, Portugal",,,,Point(-9.4786 38.8145),,Sintra,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20grande.jpg
http://www.wikidata.org/entity/Q10352479,Praia Pequena,"praia em Colares, no município de Sintra",,,,Point(-9.47686 38.81689),,Colares,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20Pequena%20-%20Portugal%20%288705796122%29.jpg
http://www.wikidata.org/entity/Q10352522,Praia Verde (Castro Marim),,,,,Point(-7.48 37.173611111),,,http://commons.wikimedia.org/wiki/Special:FilePath/Praiaverde2.JPG
http://www.wikidata.org/entity/Q10352531,Praia da Aberta Nova,,,,,Point(-8.78154 38.17778),,,
http://www.wikidata.org/entity/Q10352535,Praia da Apúlia,Praia em Esposende Portugal.,,,,Point(-8.77810556 41.48355556),,Braga,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20Ap%C3%BAlia%20Norte.jpg
http://www.wikidata.org/entity/Q10352535,Praia da Apúlia,Praia em Esposende Portugal.,,,,Point(-8.77810556 41.48355556),,Esposende,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20Ap%C3%BAlia%20Norte.jpg
http://www.wikidata.org/entity/Q10352535,Praia da Apúlia,Praia em Esposende Portugal.,,,,Point(-8.77810556 41.48355556),,Apúlia,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20Ap%C3%BAlia%20Norte.jpg
http://www.wikidata.org/entity/Q10352544,Praia da Balaia,,,,,Point(-8.21069 37.0881),,,http://commons.wikimedia.org/wiki/Special:FilePath/2018-01-11%20Praia%20da%20Balaia%20%28Leste%29%2C%20Portugal%20%283%29.JPG
http://www.wikidata.org/entity/Q10352554,Praia da Barra,praia na Gafanha da Nazaré,,,,Point(-8.74888889 40.64222222),,Gafanha da Nazaré,http://commons.wikimedia.org/wiki/Special:FilePath/Portugal%20no%20m%C3%AAs%20de%20Julho%20de%20Dois%20Mil%20e%20Catorze%20P7171157%20%2814747820505%29.jpg
http://www.wikidata.org/entity/Q10352562,Praia da Barranha,,,,,Point(-8.77956 41.44443),,,http://commons.wikimedia.org/wiki/Special:FilePath/Praia-barranha.JPG
http://www.wikidata.org/entity/Q10352568,Praia da Bordeira,,,,,Point(-8.900277777 37.200277777),,Faro,http://commons.wikimedia.org/wiki/Special:FilePath/Bordeira%2C%208670%2C%20Portugal%20-%20panoramio.jpg
http://www.wikidata.org/entity/Q10352574,Praia da Calheta,"praia na Calheta, Madeira, Portugal",,,,Point(-17.17444444 32.71888889),,Calheta,http://commons.wikimedia.org/wiki/Special:FilePath/Madeira%20Beach%20%28163610932%29.jpg
http://www.wikidata.org/entity/Q10352581,Praia da Consolação,,,,,Point(-9.35985 39.32717),,,
http://www.wikidata.org/entity/Q10352582,Praia da Cordoama,praia no município de Vila do Bispo,,,,Point(-8.9368 37.1089),,Vila do Bispo,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20cordoama%20miradouro.jpg
http://www.wikidata.org/entity/Q10352590,Praia da Dona Ana,,,,,Point(-8.6689 37.09209),,Lagos,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20de%20Dona%20Ana%20-%20Portugal%20%289068382051%29.jpg
http://www.wikidata.org/entity/Q10352598,Praia da Figueirinha,"praia na Serra da Arrábida, Setúbal, Portugal",,,,Point(-8.944583333 38.484277777),Serra da Arrábida,Setúbal,http://commons.wikimedia.org/wiki/Special:FilePath/Figueirinha.jpg
http://www.wikidata.org/entity/Q10352601,Praia da Foz do Lizandro,,,,,Point(-9.41664 38.94265),,,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20da%20Foz%20do%20Lizandro.JPG
http://www.wikidata.org/entity/Q10352602,Praia da Galé,"praia localizada no município de Albufeira, Portugal",,,,Point(-8.31611111 37.08055556),,,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20da%20Gal%C3%A9%20-%20Pequena.JPG
http://www.wikidata.org/entity/Q10352613,Praia da Ilha de Tavira,"praia na Ilha de Tavira, Algarve, Portugal",,,,Point(-7.62361111 37.10833333),,Tavira,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20da%20Ilha%20de%20Tavira%20-%20Portugal%20%2820072462770%29.jpg
http://www.wikidata.org/entity/Q10352614,Praia da Ingrina,,,,,Point(-8.878888888 37.046666666),,Faro,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20do%20Ingrina%20-%20Portugal%20%2851036969221%29.jpg
http://www.wikidata.org/entity/Q10352616,Praia da Lagoa de Albufeira,"Praia na Lagoa de Albufeira, Sesimbra (Portugal)",,,,Point(-9.182527777 38.507416666),,Sesimbra,http://commons.wikimedia.org/wiki/Special:FilePath/Lagoa%20de%20Albufeira%20I.jpg
http://www.wikidata.org/entity/Q10352618,Praia da Laje,"praia na freguesia do Seixal, na ilha da Madeira",,,,Point(-17.11388889 32.82666667),,Seixal,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20da%20Laje%20-%20Ilha%20da%20Madeira%20-%20Portugal%20%286836899475%29.jpg
http://www.wikidata.org/entity/Q10352623,Praia da Madalena do Mar,"praia na Madalena do Mar, na ilha da Madeira",,,,Point(-17.14027778 32.70166667),,Madalena do Mar,http://commons.wikimedia.org/wiki/Special:FilePath/Madalena%20do%20Mar%20-%20Portugal%20%2884765143%29.jpg
http://www.wikidata.org/entity/Q10352627,Praia da Manta Rota,,,,,Point(-7.51864 37.16292),,,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20da%20Manta%20Rota%202.JPG
http://www.wikidata.org/entity/Q10352632,Praia da Nazaré,,,,,Point(-9.07548 39.60158),,Nazaré,
http://www.wikidata.org/entity/Q10352657,Praia da Ponta do Sol,"praia na Ponta do Sol, na ilha da Madeira",,,,Point(-17.10472222 32.67916667),,Ponta do Sol,http://commons.wikimedia.org/wiki/Special:FilePath/Pontadosol1.JPG
http://www.wikidata.org/entity/Q10352661,Praia da Ribeira Brava,"praia na Ribeira Brava, na ilha da Madeira",,,,Point(-17.06666667 32.67111111),,Ribeira Brava,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20da%20Ribeira%20Brava.JPG
http://www.wikidata.org/entity/Q10352668,Praia da Senhora da Rocha,,,,,Point(-8.388333333 37.096111111),,,http://commons.wikimedia.org/wiki/Special:FilePath/02-05-2017%20Praia%20da%20Senhora%20da%20Rocha.JPG
http://www.wikidata.org/entity/Q14206083,Q14206083,,,,,Point(-8.84575 40.32971),,Tocha,
http://www.wikidata.org/entity/Q16890473,Praia da Coelha,,,,,Point(-8.3 37.066666666),,Faro,http://commons.wikimedia.org/wiki/Special:FilePath/129PT%2013%20November%202013%20Praia%20da%20Coelha.JPG
http://www.wikidata.org/entity/Q16890473,Praia da Coelha,,,,,Point(-8.29372 37.0738),,Faro,http://commons.wikimedia.org/wiki/Special:FilePath/129PT%2013%20November%202013%20Praia%20da%20Coelha.JPG
http://www.wikidata.org/entity/Q16891158,Praia do Castelo,,,,,Point(-8.29866 37.0732),,,http://commons.wikimedia.org/wiki/Special:FilePath/AG69%2025%20November%202007%20Praia%20do%20Castelo.JPG
http://www.wikidata.org/entity/Q16899062,Q16899062,,,,,Point(-8.2815 37.0747),,,http://commons.wikimedia.org/wiki/Special:FilePath/132PT%2013%20November%202013%20Praia%20de%20S%C3%A3o%20rafael.JPG
http://www.wikidata.org/entity/Q16967622,Praia dos Arrifes,"praia no município de Albufeira, Portugal",,,,Point(-8.27746111 37.07605556),,,http://commons.wikimedia.org/wiki/Special:FilePath/137PT%2013%20November%202013%20Praia%20dos%20Arrifes.JPG
http://www.wikidata.org/entity/Q10352812,Praia de Labruge,,,,,Point(-8.729166666 41.276944444),,Porto,
http://www.wikidata.org/entity/Q10352815,Praia de Machico,"praia na Machico, na ilha da Madeira",,,,Point(-16.76222222 32.71861111),,Machico,http://commons.wikimedia.org/wiki/Special:FilePath/Machico%20Madeira%20January%202014%20-%20panoramio.jpg
http://www.wikidata.org/entity/Q10352827,Praia de Melides,,,,,Point(-8.79407 38.12928),,Melides,http://commons.wikimedia.org/wiki/Special:FilePath/Lagoa%20e%20praia%20de%20Melides.jpg
http://www.wikidata.org/entity/Q10352829,Praia de Monte Gordo,,,,,Point(-7.44744 37.17665),,,http://commons.wikimedia.org/wiki/Special:FilePath/Monte%20Gordo%20%283435107970%29.jpg
http://www.wikidata.org/entity/Q10352838,Praia de Paimogo,praia no município da Lourinhã,,,,Point(-9.33776 39.2852),,Lourinhã e Atalaia,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20de%20Paimogo%20Lourinh%C3%A3%20e%20Atalaia%2009.jpg
http://www.wikidata.org/entity/Q10352840,Praia de Paimó,,,,,Point(-8.78435 41.43115),,,
http://www.wikidata.org/entity/Q10352845,Praia de Paço de Arcos,"praia em Oeiras, Portugal",,,,Point(-9.2961 38.69012),,Oeiras,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20de%20Pa%C3%A7o%20de%20Arcos%20-%20Portugal%20%28547685071%29.jpg
http://www.wikidata.org/entity/Q10352882,Praia de Santo Amaro de Oeiras,praia em Oeiras,,,,Point(-9.31096 38.685065),,Oeiras,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20de%20Santo%20Amaro%20de%20Oeiras%20-%20Portugal%20%285910051000%29.jpg
http://www.wikidata.org/entity/Q10352890,Praia de Suave Mar,,,,,Point(-8.79254 41.54764),,Esposende,
http://www.wikidata.org/entity/Q10352932,Praia do Abano,,,,,Point(-9.47305 38.74284),,,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20do%20Abano%2C%20Portugal%20%284085976471%29.jpg
http://www.wikidata.org/entity/Q10352935,Praia do Amado,,,,,Point(-8.90455 37.16654),,,
http://www.wikidata.org/entity/Q10352944,Praia do Areal,,,,,Point(-9.33849 39.25931),,,
http://www.wikidata.org/entity/Q10352953,Praia do Barril,"praia na Ilha de Tavira, Algarve, Portugal",,,,Point(-7.66888889 37.0825),,Tavira,http://commons.wikimedia.org/wiki/Special:FilePath/Beach%20Praia%20do%20Barril%20near%20Tavira%20Portugal%201.JPG
http://www.wikidata.org/entity/Q10352954,Praia do Beliche,,,,,Point(-8.96391 37.02587),,Sagres,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20do%20Beliche%20-%20Portugal%20%2850616820658%29.jpg
http://www.wikidata.org/entity/Q10352972,Praia do Camilo,,,,,Point(-8.66845 37.08741),,,http://commons.wikimedia.org/wiki/Special:FilePath/PraiadoCamilo2010.jpg
http://www.wikidata.org/entity/Q10352973,Praia do Caniçal,,,,,Point(-9.33656 39.28099),,,http://commons.wikimedia.org/wiki/Special:FilePath/Fal%C3%A9sia%20da%20praia%20do%20Cani%C3%A7al.jpg
http://www.wikidata.org/entity/Q10352980,Praia do Carvalhido,,,,,Point(-8.77082 41.38145),,,
http://www.wikidata.org/entity/Q10352982,Praia do Carvalho,,,,,Point(-8.43223889 37.08673333),,,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20do%20Carvalho%2C%20Carvoeiro%2C%20Algarve%2C%20Portugal%202017-04.jpg
http://www.wikidata.org/entity/Q10353003,Praia do Fogo,"praia em Ribeira Grande, municípiod e Povoação, Açores",,,,Point(-25.31044 37.730712),,Açores,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20do%20Fogo%2C%20Ribeira%20Quente%2C%20ilha%20de%20S%C3%A3o%20Miguel%2C%20A%C3%A7ores.JPG
http://www.wikidata.org/entity/Q10353010,Praia do Furadouro,"praia em Ovar, Portugal",,,,Point(-8.678333333 40.870833333),,"Ovar, São João, Arada e São Vicente de Pereira Jusã",http://commons.wikimedia.org/wiki/Special:FilePath/Furadouro%20-%20Portugal%20%282310252488%29.jpg
http://www.wikidata.org/entity/Q10353027,Praia do Lacém,,,,,Point(-7.5675 37.14333333),,,
http://www.wikidata.org/entity/Q10353035,Praia do Magoito,,,,,Point(-9.44921 38.8636),,,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20do%20Magoito%2C%20agosto%202017.jpg
http://www.wikidata.org/entity/Q10353038,Praia do Meco,"Praia em Sesimbra, Portugal",,,,Point(-9.183722222 38.489166666),,Sesimbra,http://commons.wikimedia.org/wiki/Special:FilePath/MECO%20%28Sesimbra%29%202.jpg
http://www.wikidata.org/entity/Q10353050,Praia do Molhe,,,,,Point(-8.51999167 37.10961944),,Lagoa,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20do%20Molhe.JPG
