item,itemLabel,idwlm,localLabel,municipioLabel,fonte,cat,cats,button,tipos,classes
http://www.wikidata.org/entity/Q9617529,Antigo Palace-Garage Hotel,DGPC-3720936,Albergaria-a-Velha e Valmaior,Albergaria-a-Velha,[http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/3720936 DGPC],Antigo Palace-Garage Hotel,Images from Wiki Loves Monuments 2022 in Portugal - Aveiro|Antigo Palace-Garage Hotel,[[Imagem:Camera-photo_Upload.svg|x60px|sub|alt=Carregar foto|link=https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlm-pt&id=Q9617529&descriptionlang=pt&description=Antigo%20Palace-Garage%20Hotel%20-%20antigo%20hotel%20em%20Albergaria-a-Velha%2C%20Portugal&categories=Images%20from%20Wiki%20Loves%20Monuments%202022%20in%20Portugal%20-%20Aveiro%7CAntigo%20Palace-Garage%20Hotel]],"hotel, garagem",sem protecção legal
http://www.wikidata.org/entity/Q96639916,CTT de Albergaria-a-Velha,DGPC-10949547,Albergaria-a-Velha e Valmaior,Albergaria-a-Velha,[http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/10949547 DGPC]<br>[http://www.monumentos.gov.pt/Site/APP_PagesUser/SIPA.aspx?id=21164 SIPA],,Images from Wiki Loves Monuments 2022 in Portugal - Aveiro,[[Imagem:Camera-photo_Upload.svg|x60px|sub|alt=Carregar foto|link=https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlm-pt&id=Q96639916&descriptionlang=pt&description=CTT%20de%20Albergaria-a-Velha%20-%20Albergaria-a-Velha%20-%20Portugal%20-%20-&categories=Images%20from%20Wiki%20Loves%20Monuments%202022%20in%20Portugal%20-%20Aveiro]],posto de correio,sem protecção legal
http://www.wikidata.org/entity/Q94970844,Casa de Santa Cruz,DGPC-25721219,Albergaria-a-Velha e Valmaior,Albergaria-a-Velha,[http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/25721219 DGPC],,Images from Wiki Loves Monuments 2022 in Portugal - Aveiro,[[Imagem:Camera-photo_Upload.svg|x60px|sub|alt=Carregar foto|link=https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlm-pt&id=Q94970844&descriptionlang=pt&description=Casa%20de%20Santa%20Cruz%20-%20Albergaria-a-Velha%20-%20Portugal%20-%20-&categories=Images%20from%20Wiki%20Loves%20Monuments%202022%20in%20Portugal%20-%20Aveiro]],casa,Em estudo
http://www.wikidata.org/entity/Q17390038,Casa de Santo António,DGPC-72098,Albergaria-a-Velha e Valmaior,Albergaria-a-Velha,[http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/72098 DGPC]<br>[http://www.monumentos.gov.pt/Site/APP_PagesUser/SIPA.aspx?id=661 SIPA],Casa de Santo António (Albergaria-a-Velha),Images from Wiki Loves Monuments 2022 in Portugal - Aveiro|Casa de Santo António (Albergaria-a-Velha),[[Imagem:Camera-photo_Upload.svg|x60px|sub|alt=Carregar foto|link=https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlm-pt&id=Q17390038&descriptionlang=pt&description=Casa%20de%20Santo%20Ant%C3%B3nio%20-%20edif%C3%ADcio%20em%20Albergaria-a-Velha%2C%20Portugal&categories=Images%20from%20Wiki%20Loves%20Monuments%202022%20in%20Portugal%20-%20Aveiro%7CCasa%20de%20Santo%20Ant%C3%B3nio%20%28Albergaria-a-Velha%29]],casa,Monumento de Interesse Público
http://www.wikidata.org/entity/Q10323463,Mamoa de Açôres,DGPC-73814,Albergaria-a-Velha e Valmaior,Albergaria-a-Velha,[http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/73814 DGPC]<br>[http://www.monumentos.gov.pt/Site/APP_PagesUser/SIPA.aspx?id=776 SIPA],,Images from Wiki Loves Monuments 2022 in Portugal - Aveiro,[[Imagem:Camera-photo_Upload.svg|x60px|sub|alt=Carregar foto|link=https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlm-pt&id=Q10323463&descriptionlang=pt&description=Mamoa%20de%20A%C3%A7%C3%B4res%20-%20monumento%20megal%C3%ADtico%20em%20Valmaior%2C%20Portugal&categories=Images%20from%20Wiki%20Loves%20Monuments%202022%20in%20Portugal%20-%20Aveiro]],mamoa,Imóvel de Interesse Público
http://www.wikidata.org/entity/Q10348057,Pelourinho de Angeja,DGPC-73766,Angeja,Albergaria-a-Velha,[http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/73766 DGPC]<br>[http://www.monumentos.gov.pt/Site/APP_PagesUser/SIPA.aspx?id=220 SIPA],Pelourinho de Angeja,Images from Wiki Loves Monuments 2022 in Portugal - Aveiro|Pelourinho de Angeja,[[Imagem:Camera-photo_Upload.svg|x60px|sub|alt=Carregar foto|link=https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlm-pt&id=Q10348057&descriptionlang=pt&description=Pelourinho%20de%20Angeja%20-%20pelourinho%20em%20Angeja%2C%20munic%C3%ADpio%20de%20Albergaria-a-Velha%2C%20Portugal&categories=Images%20from%20Wiki%20Loves%20Monuments%202022%20in%20Portugal%20-%20Aveiro%7CPelourinho%20de%20Angeja]],pelourinho,Imóvel de Interesse Público
http://www.wikidata.org/entity/Q97362079,Calçada das Relvas,DGPC-18995019,Branca,Albergaria-a-Velha,[http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/18995019 DGPC],,Images from Wiki Loves Monuments 2022 in Portugal - Aveiro,[[Imagem:Camera-photo_Upload.svg|x60px|sub|alt=Carregar foto|link=https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlm-pt&id=Q97362079&descriptionlang=pt&description=Cal%C3%A7ada%20das%20Relvas%20-%20Albergaria-a-Velha%2C%20Portugal&categories=Images%20from%20Wiki%20Loves%20Monuments%202022%20in%20Portugal%20-%20Aveiro]],passeio,sem protecção legal
http://www.wikidata.org/entity/Q97031915,Casa dos Bicos,DGPC-18994920,Branca,Albergaria-a-Velha,[http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/18994920 DGPC],,Images from Wiki Loves Monuments 2022 in Portugal - Aveiro,[[Imagem:Camera-photo_Upload.svg|x60px|sub|alt=Carregar foto|link=https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlm-pt&id=Q97031915&descriptionlang=pt&description=Casa%20dos%20Bicos%20-%20Albergaria-a-Velha%20-%20Portugal%20-%20-&categories=Images%20from%20Wiki%20Loves%20Monuments%202022%20in%20Portugal%20-%20Aveiro]],casa,sem protecção legal
http://www.wikidata.org/entity/Q97362080,Quinta das Cavadas,DGPC-18994655,Branca,Albergaria-a-Velha,[http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/18994655 DGPC],,Images from Wiki Loves Monuments 2022 in Portugal - Aveiro,[[Imagem:Camera-photo_Upload.svg|x60px|sub|alt=Carregar foto|link=https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlm-pt&id=Q97362080&descriptionlang=pt&description=Quinta%20das%20Cavadas%20-%20Albergaria-a-Velha%20-%20Portugal%20-%20-&categories=Images%20from%20Wiki%20Loves%20Monuments%202022%20in%20Portugal%20-%20Aveiro]],quinta,sem protecção legal
http://www.wikidata.org/entity/Q97068735,Lagar de azeite no Barro Negro,DGPC-22171284,Ribeira de Fráguas,Albergaria-a-Velha,[http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/22171284 DGPC],,Images from Wiki Loves Monuments 2022 in Portugal - Aveiro,[[Imagem:Camera-photo_Upload.svg|x60px|sub|alt=Carregar foto|link=https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlm-pt&id=Q97068735&descriptionlang=pt&description=Lagar%20de%20azeite%20no%20Barro%20Negro%20-%20Albergaria-a-Velha%20-%20Portugal%20-%20-&categories=Images%20from%20Wiki%20Loves%20Monuments%202022%20in%20Portugal%20-%20Aveiro]],lagar de azeite,sem protecção legal
