monument,monumentLabel,monumentDescription,type,typeLabel,typeDescription,sipa_id,idwlm,gps_coords,locationLabel,localidadeLabel,image
http://www.wikidata.org/entity/Q908989,Museu do Carro Eléctrico,,http://www.wikidata.org/entity/Q1614140,museu do carro eletrico,,5448,SIPA-5448,Point(-8.632785797 41.14780426),Massarelos,Lordelo do Ouro e Massarelos,http://commons.wikimedia.org/wiki/Special:FilePath/Museu%20dos%20El%C3%A9ctricos%20STCP%20Porto.jpg
http://www.wikidata.org/entity/Q910908,Ponte de Rubiães,Ponte  medieval,http://www.wikidata.org/entity/Q158438,ponte em arco,ponte com pilares em cada extremidade formando um arco curvo,2237,DGPC-73415,Point(-8.626492 41.903942),,Rubiães,http://commons.wikimedia.org/wiki/Special:FilePath/Puente%20de%20Rubi%C3%A3es%20%283379697291%29.jpg
http://www.wikidata.org/entity/Q910908,Ponte de Rubiães,Ponte  medieval,http://www.wikidata.org/entity/Q3397526,ponte em alvenaria,,2237,DGPC-73415,Point(-8.626492 41.903942),,Rubiães,http://commons.wikimedia.org/wiki/Special:FilePath/Puente%20de%20Rubi%C3%A3es%20%283379697291%29.jpg
http://www.wikidata.org/entity/Q914027,Theatro Circo,teatro em Braga,http://www.wikidata.org/entity/Q24354,teatro,espaço para espetáculos teatrais,11126,DGPC-72722,Point(-8.42259 41.5497),,Braga (São José de São Lázaro e São João do Souto),http://commons.wikimedia.org/wiki/Special:FilePath/Theatro%20Circo%2C%20fachada%20principal.jpg
http://www.wikidata.org/entity/Q916876,Mina de Neves-Corvo,,http://www.wikidata.org/entity/Q820477,mina,local de onde se extraem minerais,30316,,Point(-7.97083333 37.57305556),,Santa Bárbara de Padrões,http://commons.wikimedia.org/wiki/Special:FilePath/Poco%20sta%20Barbara.jpg
http://www.wikidata.org/entity/Q934351,Igreja Paroquial de Balazar,"igreja em Balazar, no município de Póvoa de Varzim",http://www.wikidata.org/entity/Q16970,igreja,edifício religioso cristão,25221,,Point(-8.623997 41.40488),,Balazar,http://commons.wikimedia.org/wiki/Special:FilePath/Igreja%20paroquial%20de%20Balasar.JPG
http://www.wikidata.org/entity/Q943407,Jardim Botânico de Lisboa,"jardim em Lisboa, Portugal",http://www.wikidata.org/entity/Q167346,jardim botânico,,7006,DGPC-70142,Point(-9.14895 38.7181),São Mamede,Santo António,http://commons.wikimedia.org/wiki/Special:FilePath/Entrada%20da%20Escola%20Polit%C3%A9cnica%20de%20Lisboa.jpg
http://www.wikidata.org/entity/Q954483,Quiosque do Serviço de Transportes Colectivos do Porto,,http://www.wikidata.org/entity/Q693369,quiosque,,5545,DGPC-71539,Point(-8.61169167 41.14653611),Santo Ildefonso,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",http://commons.wikimedia.org/wiki/Special:FilePath/Quiosque%20STCP%20%28Porto%29.JPG
http://www.wikidata.org/entity/Q955299,Ponte Eiffel,"ponte rodo-ferroviária perto de Viana do Castelo, Portugal",http://www.wikidata.org/entity/Q158218,ponte de treliça,,442,DGPC-70343,Point(-8.81805556 41.69277778),Santa Maria Maior,Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela,http://commons.wikimedia.org/wiki/Special:FilePath/Ponte%20Eiffel.JPG
http://www.wikidata.org/entity/Q955299,Ponte Eiffel,"ponte rodo-ferroviária perto de Viana do Castelo, Portugal",http://www.wikidata.org/entity/Q6636777,ponte rodo-ferroviária,,442,DGPC-70343,Point(-8.81805556 41.69277778),Santa Maria Maior,Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela,http://commons.wikimedia.org/wiki/Special:FilePath/Ponte%20Eiffel.JPG
